Fecha de comienzo,Fecha de finalizaci—n ,Duraci—n [Mins],Location,Simultaneo?,Productivo?
17/11/21 13:00,17/11/21 13:30,30,Zoom,0,0
17/11/21 13:30,17/11/21 14:00,30,Zoom,0,0
17/11/21 15:30,17/11/21 16:00,30,Zoom,0,1
17/11/21 16:00,17/11/21 16:45,45,Zoom,1,0
17/11/21 16:00,17/11/21 16:30,30,Zoom,1,1
17/11/21 16:00,17/11/21 16:50,50,Zoom,1,0
17/11/21 17:00,17/11/21 18:00,60,Zoom,0,0
17/11/21 17:30,17/11/21 18:00,30,Zoom,0,1
18/11/21 8:00,18/11/21 8:30,30,Zoom,1,1
18/11/21 8:00,18/11/21 9:00,60,Zoom,1,0
18/11/21 8:30,18/11/21 9:00,30,Zoom,0,1
18/11/21 9:45,18/11/21 10:30,45,Zoom,0,0
18/11/21 10:00,18/11/21 10:30,30,Zoom,0,1
18/11/21 11:00,18/11/21 12:00,60,Zoom,0,1
18/11/21 12:00,18/11/21 12:30,30,Zoom,0,1
18/11/21 12:30,18/11/21 13:00,30,Zoom,0,1
18/11/21 14:00,18/11/21 14:30,30,Zoom,0,1
18/11/21 15:00,18/11/21 18:30,210,Zoom,0,1
18/11/21 15:30,18/11/21 16:30,60,Zoom,0,0
19/11/21 8:00,19/11/21 9:00,60,Zoom,0,1
19/11/21 9:00,19/11/21 9:15,15,Zoom,1,1
19/11/21 9:00,19/11/21 9:30,30,Zoom,1,0
19/11/21 9:30,19/11/21 9:45,15,Zoom,0,1
19/11/21 10:00,19/11/21 10:30,30,Zoom,0,1
19/11/21 16:00,19/11/21 17:00,60,Zoom,0,1
